"All","Vše",module,Magento/AdminGws
"None","Nic",module,Magento/AdminGws
"Allowed Scopes","Povolené obory",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","Potřebujete další oprávnění k odstranění této položky: %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","K uložení úprav funkce potřebujete vyšší oprávnění.",module,Magento/AdminGws
"Please assign this entity to a store view.","K zobrazení obchodu přiřaďte tuto entitu.",module,Magento/AdminGws
"You can create orders only in an active store.","Objednávku můžete vytvořit pouze v aktivním obchodu.",module,Magento/AdminGws
"Please assign this item to a store view.","K zobrazení obchodu přiřaďte tuto položku.",module,Magento/AdminGws
"You need more permissions to save this item.","Nemáte dostatečnou pravomoc k uložení této položky.",module,Magento/AdminGws
"You need more permissions to delete this item.","Nemáte dostatečnou pravomoc ke smazání této položky.",module,Magento/AdminGws
"You need more permissions to view this item.","Nemáte dostatečnou pravomoc k prohlížení této položky.",module,Magento/AdminGws
"Please specify at least one website or one store group.","Musíte zadat alespoň jednu webovou stránku obchodu anebo skupinu obchodu.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","K nastavení všech rozsahů role potřebujete vyšší oprávnění.",module,Magento/AdminGws
"Incorrect website ID: %1","Nesprávné ID webu: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","K přístupu k webu ""%1"" potřebujete vyšší oprávnění.",module,Magento/AdminGws
"Incorrect store ID: %1","Nesprávné ID obchodu: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","K uložení nastavení potřebujete vyšší oprávnění.",module,Magento/AdminGws
"Role Scopes","Rozsahy role",module,Magento/AdminGws
"Custom","Vlastní",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","Více oprávnění je potřeba k odstranění ""%1"" položky.",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Tento subjekt musí být přidělen na prodejní pohled.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Objednávky lze provést pouze v aktivním obchodě. Ověřte obchod a zkuste to znovu.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Tato položka musí být přiřazena k pohledu obchodu. Přiřaďte položku a zopakujte akci.",module,Magento/AdminGws
"More permissions are needed to save this item.","K uložení této položky je potřeba více oprávnění.",module,Magento/AdminGws
"More permissions are needed to delete this item.","Ke smazání této položky je potřeba více oprávnění.",module,Magento/AdminGws
"More permissions are needed to view this item.","K zobrazení této položky je potřeba více oprávnění.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","Nejméně jedna skupina můsí být vybrána. Vyberte a zkuste znova.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","Další oprávnění jsou potřebné k nastavení Všechny rozsahy u role.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID webové stránky ""%1"" je nesprávné. Zkontrolujte ID webu a opakujte akci.",module,Magento/AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","ID obchodu ""%1"" je nesprávné. Zkontrolujte ID obchodu a opakujte akci.",module,Magento/AdminGws
"More permissions are needed to save this setting.","K uložení je potřeba více oprávnění.",module,Magento/AdminGws
"Read Details","Číst podrobnosti",module,Magento/AdminNotification
"Mark as Read","Označit jako přečtené",module,Magento/AdminNotification
"Are you sure?","Skutečně chcete provést tuto akci?",module,Magento/AdminNotification
"Remove","Odstranit",module,Magento/AdminNotification
"Messages Inbox","Složka příchozích zpráv",module,Magento/AdminNotification
"You have %1 new system messages","Máte %1 nové systémové zprávy",module,Magento/AdminNotification
"You have %1 new system message","Máte %1 novou systémovou zprávu",module,Magento/AdminNotification
"Incoming Message","Příchozí zpráva",module,Magento/AdminNotification
"close","zavřít",module,Magento/AdminNotification
"Notifications","Oznámení",module,Magento/AdminNotification
"The message has been marked as Read.","Zpráva byla označena jako přečtená.",module,Magento/AdminNotification
"We couldn't mark the notification as Read because of an error.","Z důvodu chyby nelze zprávu označit jako přečtenou.",module,Magento/AdminNotification
"Please select messages.","Zvolte zprávy prosím.",module,Magento/AdminNotification
"A total of %1 record(s) have been marked as Read.","Jako přečtené bylo označeno celkem %1 zpráv(y).",module,Magento/AdminNotification
"Total of %1 record(s) have been removed.","Bylo odstraněno celkem %1 zpráv(y).",module,Magento/AdminNotification
"We couldn't remove the messages because of an error.","Z důvodu chyby nelze zprávy odstranit.",module,Magento/AdminNotification
"The message has been removed.","Zpráva byla odstraněna.",module,Magento/AdminNotification
"1 Hour","1 hodina",module,Magento/AdminNotification
"2 Hours","2 hodiny",module,Magento/AdminNotification
"6 Hours","6 hodin",module,Magento/AdminNotification
"12 Hours","12 hodin",module,Magento/AdminNotification
"24 Hours","24 hodin",module,Magento/AdminNotification
"critical","výstraha",module,Magento/AdminNotification
"major","varování",module,Magento/AdminNotification
"minor","upozornění",module,Magento/AdminNotification
"notice","oznámení",module,Magento/AdminNotification
"Wrong message type","Chybný typ zprávy",module,Magento/AdminNotification
"Wrong notification ID specified.","Zvoleno chybné ID upozornění.",module,Magento/AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","V produkčním prostředí byste neměli používat {{base_url}} k deklaraci Základní URL adresy / Zabezpečené URL adresy. Je důrazně doporučeno v <a href=""%1"">nastavení</a> tento údaj změnit.",module,Magento/AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Mezipaměti jsou neplatné a vyžadují obnovu. Zkontrolujte: %1. ",module,Magento/AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Jděte do <a href=""%1"">Správy mezipaměti</a> a obnovte neplatné.",module,Magento/AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Jeden nebo více souborů médií nebylo možné synchronizovat. Více podrobností naleznete v protokolu.",module,Magento/AdminNotification
"Synchronization of media storages has been completed.","Synchronizace úložiště médií byla dokončena.",module,Magento/AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Váš webový server je chybně nakonfigurován a umožňuje neoprávněný přístup k citlivým souborům. Obraťte se na svého poskytovatele hostingu.",module,Magento/AdminNotification
"System Messages:","Systémové zprávy:",module,Magento/AdminNotification
"Critical System Messages","Výstrahy systému",module,Magento/AdminNotification
"Major System Messages","Varování systému",module,Magento/AdminNotification
"System messages","Systémové zprávy",module,Magento/AdminNotification
"Close","Zavřít‏",module,Magento/AdminNotification
"See All (","Zobrazit všechny (",module,Magento/AdminNotification
" unread)"," nepřečtené)",module,Magento/AdminNotification
"Show Toolbar","Zobrazit panel nástrojů",module,Magento/AdminNotification
"Show List","Zobrazit seznam",module,Magento/AdminNotification
"Use HTTPS to Get Feed","K příjmu zpráv použít HTTPS",module,Magento/AdminNotification
"Update Frequency","Četnost aktualizace",module,Magento/AdminNotification
"Last Update","Poslední aktualizace",module,Magento/AdminNotification
"Severity","Závažnost",module,Magento/AdminNotification
"Date Added","Ze dne",module,Magento/AdminNotification
"Message","Zpráva",module,Magento/AdminNotification
"Actions","Akce",module,Magento/AdminNotification
"Close popup","Zavřít okno",module,Magento/AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Všechny nedávné systémové upozornění máte vyřešené. Znovunačtením stránky odstraníte alert.",module,Magento/AdminNotification
"Manage Shopping Cart","Upravit nákupní košík",module,Magento/AdvancedCheckout
"Create Order","Vytvořit objednávku",module,Magento/AdvancedCheckout
"Back","Zpět",module,Magento/AdvancedCheckout
"Add Products","Přidat produkty",module,Magento/AdvancedCheckout
"Update Items and Quantities","Upravit položky a množství",module,Magento/AdvancedCheckout
